Date,F_3_Z_8: Lights Power,F_3_Z_8: Equipment Power,F_3_Z_8: Thermostat Temp,F_3_Z_8: Thermostat Heating Setpoint,F_3_Z_8: Thermostat Cooling Setpoint,F_3_Z_8 VAV REHEAT Damper Position,F_3_Z_8 REHEAT COIL Power,F_3_Z_8 RETURN OUTLET CO2 Concentration,F_3_Z_8 SUPPLY INLET Temperature,F_3_Z_8 SUPPLY INLET Mass Flow Rate
2016-05-31,503.9835281249999,450.1697354166667,23.51152326388889,19.25,24.89583333333333,0.3280440972222222,0.0,560.9344500000001,12.800678472222224,0.16203229166666666
2016-06-01,508.14868124999987,452.5022208333334,23.570814236111108,19.25,24.89583333333333,0.3413579861111111,0.0,572.2212291666667,12.80077951388889,0.16860868055555556
2016-06-02,495.653221875,445.5047645833334,23.724206944444447,19.25,24.89583333333333,0.37649444444444435,0.0,570.3426340277779,12.800656597222222,0.1859559027777778
2016-06-03,474.82745624999995,433.8423375,23.80425347222222,20.420833333333334,24.680208333333333,0.5534222222222223,1083.012998611111,564.2888715277778,14.95429027777778,0.2733434027777778
2016-06-04,0.0,167.939,24.00068958333334,24.0,24.0,1.0,4247.139772569444,433.469634375,21.24417847222222,0.4939
2016-06-05,0.0,167.939,24.001470138888887,24.0,24.0,1.0,4475.198955555555,403.85008993055555,21.698236805555556,0.4939
2016-06-06,524.8092937499999,461.8321625000001,23.837474652777775,21.029166666666665,24.32395833333333,0.5223749999999999,1099.5162958333333,548.8999666666665,14.985246874999998,0.25800729166666664
2016-06-07,524.8092937499999,461.8321625000001,24.50971840277778,21.404166666666672,24.436180555555552,0.49730486111111116,232.65955034722225,933.2882621527777,15.558581597222222,0.24784166666666665
2016-06-08,516.4789875,457.16719166666667,24.62119965277778,21.393750000000004,24.397499999999997,0.5008927083333333,212.52271354166663,1098.2295277777778,14.674794444444444,0.24920381944444447
2016-06-09,441.50623125,415.18245416666673,28.303376736111108,25.368958333333335,30.72277777777778,0.23218472222222225,1923.2203527777774,727.3120968750001,24.442191666666666,0.14196805555555556
2016-06-10,499.81837499999995,447.8372500000001,23.95031145833333,20.420833333333334,24.680208333333333,0.5870121527777779,1026.5154236111111,568.3516027777778,14.842354861111112,0.2899322916666667
2016-06-11,199.92735000000002,279.89830000000006,24.00080833333333,24.0,24.0,1.0,4137.211672916667,439.8570597222222,21.025352083333335,0.4939
2016-06-12,199.92735,279.89830000000006,24.00130798611111,24.0,24.0,1.0,4215.5899114583335,410.147665625,21.18191354166667,0.4939
2016-06-13,470.6623031249999,431.5098520833333,23.882030208333333,21.029166666666665,24.32395833333333,0.5357454861111112,1068.729723263889,539.044120138889,14.924235069444443,0.2646104166666666
