Date,Time,F_3_Z_8: Lights Power,F_3_Z_8: Equipment Power,F_3_Z_8: Thermostat Temp,F_3_Z_8: Thermostat Heating Setpoint,F_3_Z_8: Thermostat Cooling Setpoint,F_3_Z_8 VAV REHEAT Damper Position,F_3_Z_8 REHEAT COIL Power,F_3_Z_8 RETURN OUTLET CO2 Concentration,F_3_Z_8 SUPPLY INLET Temperature,F_3_Z_8 SUPPLY INLET Mass Flow Rate
2016-06-12,00:00:00,0.0,167.939,24.0014,24.0,24.0,1.0,4854.6505,407.3665,22.4532,0.4939
2016-06-12,00:05:00,0.0,167.939,24.0014,24.0,24.0,1.0,4861.612,407.3218,22.467,0.4939
2016-06-12,00:10:00,0.0,167.939,24.0014,24.0,24.0,1.0,4868.6081,407.2773,22.4809,0.4939
2016-06-12,00:15:00,0.0,167.939,24.0015,24.0,24.0,1.0,4875.6034,407.2331,22.4948,0.4939
2016-06-12,00:20:00,0.0,167.939,24.0015,24.0,24.0,1.0,4882.5892,407.1891,22.5087,0.4939
2016-06-12,00:25:00,0.0,167.939,24.0015,24.0,24.0,1.0,4889.464,407.1455,22.5224,0.4939
2016-06-12,00:30:00,0.0,167.939,24.0015,24.0,24.0,1.0,4896.3406,407.1021,22.5361,0.4939
2016-06-12,00:35:00,0.0,167.939,24.0015,24.0,24.0,1.0,4903.3697,407.0589,22.55,0.4939
2016-06-12,00:40:00,0.0,167.939,24.0015,24.0,24.0,1.0,4910.3761,407.016,22.564,0.4939
2016-06-12,00:45:00,0.0,167.939,24.0015,24.0,24.0,1.0,4917.2906,406.9734,22.5777,0.4939
2016-06-12,00:50:00,0.0,167.939,24.0015,24.0,24.0,1.0,4924.2276,406.931,22.5915,0.4939
2016-06-12,00:55:00,0.0,167.939,24.0015,24.0,24.0,1.0,4931.1413,406.8889,22.6053,0.4939
2016-06-12,01:00:00,0.0,167.939,24.0016,24.0,24.0,1.0,4938.0153,406.847,22.6189,0.4939
2016-06-12,01:05:00,0.0,167.939,24.0016,24.0,24.0,1.0,4945.5262,406.8054,22.6339,0.4939
2016-06-12,01:10:00,0.0,167.939,24.0016,24.0,24.0,1.0,4952.3844,406.7641,22.6475,0.4939
2016-06-12,01:15:00,0.0,167.939,24.0016,24.0,24.0,1.0,4959.869,406.723,22.6624,0.4939
2016-06-12,01:20:00,0.0,167.939,24.0016,24.0,24.0,1.0,4966.7114,406.6821,22.676,0.4939
2016-06-12,01:25:00,0.0,167.939,24.0016,24.0,24.0,1.0,4974.076,406.6415,22.6906,0.4939
2016-06-12,01:30:00,0.0,167.939,24.0016,24.0,24.0,1.0,4980.8155,406.6011,22.704,0.4939
2016-06-12,01:35:00,0.0,167.939,24.0016,24.0,24.0,1.0,4988.1937,406.5609,22.7187,0.4939
2016-06-12,01:40:00,0.0,167.939,24.0016,24.0,24.0,1.0,4995.0753,406.521,22.7324,0.4939
2016-06-12,01:45:00,0.0,167.939,24.0016,24.0,24.0,1.0,5002.5636,406.4814,22.7472,0.4939
2016-06-12,01:50:00,0.0,167.939,24.0017,24.0,24.0,1.0,5009.324,406.4419,22.7607,0.4939
2016-06-12,01:55:00,0.0,167.939,24.0017,24.0,24.0,1.0,5016.7328,406.4028,22.7754,0.4939
2016-06-12,02:00:00,0.0,167.939,24.0017,24.0,24.0,1.0,5023.4928,406.3638,22.7889,0.4939
2016-06-12,02:05:00,0.0,167.939,24.0017,24.0,24.0,1.0,5027.8187,406.3251,22.7975,0.4939
2016-06-12,02:10:00,0.0,167.939,24.0017,24.0,24.0,1.0,5031.3797,406.2866,22.8045,0.4939
2016-06-12,02:15:00,0.0,167.939,24.0017,24.0,24.0,1.0,5034.677,406.2484,22.8111,0.4939
2016-06-12,02:20:00,0.0,167.939,24.0017,24.0,24.0,1.0,5037.7522,406.2104,22.8172,0.4939
2016-06-12,02:25:00,0.0,167.939,24.0017,24.0,24.0,1.0,5040.6985,406.1726,22.8231,0.4939
