Date,Time,F_3_Z_8: Lights Power,F_3_Z_8: Equipment Power,F_3_Z_8: Thermostat Temp,F_3_Z_8: Thermostat Heating Setpoint,F_3_Z_8: Thermostat Cooling Setpoint,F_3_Z_8 VAV REHEAT Damper Position,F_3_Z_8 REHEAT COIL Power,F_3_Z_8 RETURN OUTLET CO2 Concentration,F_3_Z_8 SUPPLY INLET Temperature,F_3_Z_8 SUPPLY INLET Mass Flow Rate
2016-06-05,00:00:00,0.0,167.939,24.0014,24.0,24.0,1.0,4652.3209,403.6906,22.0507,0.4939
2016-06-05,00:05:00,0.0,167.939,24.0014,24.0,24.0,1.0,4658.3605,403.6682,22.0627,0.4939
2016-06-05,00:10:00,0.0,167.939,24.0014,24.0,24.0,1.0,4664.2628,403.6459,22.0744,0.4939
2016-06-05,00:15:00,0.0,167.939,24.0014,24.0,24.0,1.0,4670.1063,403.6238,22.0861,0.4939
2016-06-05,00:20:00,0.0,167.939,24.0014,24.0,24.0,1.0,4675.9012,403.6018,22.0976,0.4939
2016-06-05,00:25:00,0.0,167.939,24.0014,24.0,24.0,1.0,4681.6503,403.58,22.109,0.4939
2016-06-05,00:30:00,0.0,167.939,24.0014,24.0,24.0,1.0,4687.2634,403.5583,22.1202,0.4939
2016-06-05,00:35:00,0.0,167.939,24.0014,24.0,24.0,1.0,4692.8438,403.5367,22.1313,0.4939
2016-06-05,00:40:00,0.0,167.939,24.0015,24.0,24.0,1.0,4698.5424,403.5152,22.1426,0.4939
2016-06-05,00:45:00,0.0,167.939,24.0015,24.0,24.0,1.0,4704.1488,403.4939,22.1537,0.4939
2016-06-05,00:50:00,0.0,167.939,24.0015,24.0,24.0,1.0,4709.5998,403.4727,22.1646,0.4939
2016-06-05,00:55:00,0.0,167.939,24.0015,24.0,24.0,1.0,4715.0199,403.4517,22.1754,0.4939
2016-06-05,01:00:00,0.0,167.939,24.0015,24.0,24.0,1.0,4720.4202,403.4308,22.1861,0.4939
2016-06-05,01:05:00,0.0,167.939,24.0015,24.0,24.0,1.0,4726.2082,403.41,22.1976,0.4939
2016-06-05,01:10:00,0.0,167.939,24.0015,24.0,24.0,1.0,4732.0582,403.3893,22.2092,0.4939
2016-06-05,01:15:00,0.0,167.939,24.0015,24.0,24.0,1.0,4737.892,403.3687,22.2208,0.4939
2016-06-05,01:20:00,0.0,167.939,24.0015,24.0,24.0,1.0,4743.6899,403.3483,22.2324,0.4939
2016-06-05,01:25:00,0.0,167.939,24.0015,24.0,24.0,1.0,4749.4289,403.328,22.2438,0.4939
2016-06-05,01:30:00,0.0,167.939,24.0016,24.0,24.0,1.0,4755.0508,403.3078,22.255,0.4939
2016-06-05,01:35:00,0.0,167.939,24.0016,24.0,24.0,1.0,4760.8169,403.2878,22.2664,0.4939
2016-06-05,01:40:00,0.0,167.939,24.0016,24.0,24.0,1.0,4766.5721,403.2678,22.2779,0.4939
2016-06-05,01:45:00,0.0,167.939,24.0016,24.0,24.0,1.0,4772.4622,403.248,22.2896,0.4939
2016-06-05,01:50:00,0.0,167.939,24.0016,24.0,24.0,1.0,4778.2852,403.2283,22.3012,0.4939
2016-06-05,01:55:00,0.0,167.939,24.0016,24.0,24.0,1.0,4783.9799,403.2087,22.3125,0.4939
2016-06-05,02:00:00,0.0,167.939,24.0016,24.0,24.0,1.0,4789.6725,403.1893,22.3238,0.4939
2016-06-05,02:05:00,0.0,167.939,24.0016,24.0,24.0,1.0,4795.3685,403.1699,22.3351,0.4939
2016-06-05,02:10:00,0.0,167.939,24.0016,24.0,24.0,1.0,4801.0501,403.1507,22.3464,0.4939
2016-06-05,02:15:00,0.0,167.939,24.0016,24.0,24.0,1.0,4806.7152,403.1316,22.3577,0.4939
2016-06-05,02:20:00,0.0,167.939,24.0016,24.0,24.0,1.0,4812.3622,403.1126,22.3689,0.4939
2016-06-05,02:25:00,0.0,167.939,24.0016,24.0,24.0,1.0,4817.989,403.0937,22.3801,0.4939
2016-06-05,02:30:00,0.0,167.939,24.0016,24.0,24.0,1.0,4823.5951,403.0749,22.3913,0.4939
2016-06-05,02:35:00,0.0,167.939,24.0017,24.0,24.0,1.0,4829.1795,403.0562,22.4024,0.4939
2016-06-05,02:40:00,0.0,167.939,24.0017,24.0,24.0,1.0,4834.7424,403.0377,22.4134,0.4939
2016-06-05,02:45:00,0.0,167.939,24.0017,24.0,24.0,1.0,4840.2829,403.0193,22.4245,0.4939
2016-06-05,02:50:00,0.0,167.939,24.0017,24.0,24.0,1.0,4845.9219,403.0009,22.4357,0.4939
2016-06-05,02:55:00,0.0,167.939,24.0017,24.0,24.0,1.0,4851.4842,402.9827,22.4467,0.4939
2016-06-05,03:00:00,0.0,167.939,24.0017,24.0,24.0,1.0,4856.9126,402.9646,22.4575,0.4939
2016-06-05,03:05:00,0.0,167.939,24.0017,24.0,24.0,1.0,4862.3238,402.9466,22.4683,0.4939
2016-06-05,03:10:00,0.0,167.939,24.0017,24.0,24.0,1.0,4867.7271,402.9287,22.479,0.4939
2016-06-05,03:15:00,0.0,167.939,24.0017,24.0,24.0,1.0,4873.1109,402.9109,22.4897,0.4939
2016-06-05,03:20:00,0.0,167.939,24.0017,24.0,24.0,1.0,4878.4732,402.8933,22.5004,0.4939
2016-06-05,03:25:00,0.0,167.939,24.0017,24.0,24.0,1.0,4883.8118,402.8757,22.511,0.4939
2016-06-05,03:30:00,0.0,167.939,24.0017,24.0,24.0,1.0,4889.1266,402.8582,22.5216,0.4939
2016-06-05,03:35:00,0.0,167.939,24.0017,24.0,24.0,1.0,4894.4168,402.8409,22.5321,0.4939
2016-06-05,03:40:00,0.0,167.939,24.0017,24.0,24.0,1.0,4899.683,402.8236,22.5426,0.4939
2016-06-05,03:45:00,0.0,167.939,24.0017,24.0,24.0,1.0,4904.9248,402.8065,22.553,0.4939
2016-06-05,03:50:00,0.0,167.939,24.0017,24.0,24.0,1.0,4910.1429,402.7894,22.5634,0.4939
2016-06-05,03:55:00,0.0,167.939,24.0017,24.0,24.0,1.0,4915.4473,402.7725,22.5739,0.4939
2016-06-05,04:00:00,0.0,167.939,24.0017,24.0,24.0,1.0,4920.796,402.7556,22.5846,0.4939
2016-06-05,04:05:00,0.0,167.939,24.0017,24.0,24.0,1.0,4925.8396,402.7389,22.5946,0.4939
2016-06-05,04:10:00,0.0,167.939,24.0017,24.0,24.0,1.0,4930.9068,402.7222,22.6047,0.4939
2016-06-05,04:15:00,0.0,167.939,24.0017,24.0,24.0,1.0,4935.9985,402.7057,22.6148,0.4939
2016-06-05,04:20:00,0.0,167.939,24.0017,24.0,24.0,1.0,4941.0758,402.6892,22.6249,0.4939
2016-06-05,04:25:00,0.0,167.939,24.0017,24.0,24.0,1.0,4946.1344,402.6729,22.635,0.4939
2016-06-05,04:30:00,0.0,167.939,24.0017,24.0,24.0,1.0,4951.2698,402.6566,22.6452,0.4939
2016-06-05,04:35:00,0.0,167.939,24.0017,24.0,24.0,1.0,4956.3209,402.6405,22.6552,0.4939
2016-06-05,04:40:00,0.0,167.939,24.0017,24.0,24.0,1.0,4961.3195,402.6244,22.6652,0.4939
2016-06-05,04:45:00,0.0,167.939,24.0017,24.0,24.0,1.0,4966.2917,402.6085,22.6751,0.4939
2016-06-05,04:50:00,0.0,167.939,24.0017,24.0,24.0,1.0,4971.2399,402.5926,22.6849,0.4939
2016-06-05,04:55:00,0.0,167.939,24.0017,24.0,24.0,1.0,4976.1647,402.5769,22.6947,0.4939
2016-06-05,05:00:00,0.0,167.939,24.0017,24.0,24.0,1.0,4981.1684,402.5612,22.7046,0.4939
2016-06-05,05:05:00,0.0,167.939,24.0017,24.0,24.0,1.0,4983.2043,402.5456,22.7087,0.4939
2016-06-05,05:10:00,0.0,167.939,24.0017,24.0,24.0,1.0,4984.6835,402.5302,22.7118,0.4939
2016-06-05,05:15:00,0.0,167.939,24.0017,24.0,24.0,1.0,4986.0198,402.5148,22.7145,0.4939
2016-06-05,05:20:00,0.0,167.939,24.0017,24.0,24.0,1.0,4987.387,402.4995,22.7173,0.4939
2016-06-05,05:25:00,0.0,167.939,24.0017,24.0,24.0,1.0,4988.9695,402.4844,22.7204,0.4939
2016-06-05,05:30:00,0.0,167.939,24.0017,24.0,24.0,1.0,4990.8587,402.4693,22.7242,0.4939
2016-06-05,05:35:00,0.0,167.939,24.0017,24.0,24.0,1.0,4993.0563,402.4543,22.7286,0.4939
2016-06-05,05:40:00,0.0,167.939,24.0017,24.0,24.0,1.0,4995.5002,402.4394,22.7334,0.4939
2016-06-05,05:45:00,0.0,167.939,24.0017,24.0,24.0,1.0,4998.1134,402.4246,22.7386,0.4939
2016-06-05,05:50:00,0.0,167.939,24.0017,24.0,24.0,1.0,5000.8256,402.41,22.744,0.4939
2016-06-05,05:55:00,0.0,167.939,24.0017,24.0,24.0,1.0,4993.9843,402.3954,22.7304,0.4939
2016-06-05,06:00:00,0.0,167.939,24.0017,24.0,24.0,1.0,4985.7591,402.3809,22.7141,0.4939
